id	effectiveTime	active	moduleId	refsetId	referencedComponentId	owlExpression
c899090c-6d18-4e43-a542-9431f54bcf07		1	900000000000012004	733073007	900000000000546006	SubClassOf(:900000000000546006 :900000000000491004)
98101c4a-b28f-4d36-934f-9ae3381ec3ba		1	900000000000012004	733073007	246061005	SubClassOf(:246061005 :106237007)
23b3ebc3-0496-486e-ac53-d503f03b13ed		1	900000000000207008	733073007	410510008	SubClassOf(:410510008 :288529006)
4548b3ff-bb6a-484b-89c1-f06c2a88e2a5		1	900000000000012004	733073007	900000000000012004	SubClassOf(:900000000000012004 :900000000000445007)
9e0c6a20-8e17-4438-b9f5-198742b8a362		1	900000000000012004	733073007	370136006	SubClassOf(:370136006 :900000000000441003)
39d6c114-ee34-4510-9917-95d8206e76c3		1	900000000000012004	733073007	900000000000073002	SubClassOf(:900000000000073002 :900000000000444006)
f1e1fcd8-5d58-47a7-ae63-1b1a59712e30		1	900000000000012004	733073007	116680003	SubClassOf(:116680003 :246061005)
fc590a53-5a29-4a43-8451-5e206e4ad90f		1	900000000000012004	733073007	900000000000441003	SubClassOf(:900000000000441003 :138875005)
9088e60c-60d6-4c62-a778-f3703e971ba0		1	900000000000012004	733073007	900000000000485001	SubClassOf(:900000000000485001 ObjectIntersectionOf(:900000000000481005 :900000000000493001 :900000000000546006))
419e7e80-d9e3-4e03-b76a-15da5bd52eb4		1	900000000000012004	733073007	900000000000521006	SubClassOf(:900000000000521006 :900000000000455006)
a4c3576a-c787-49b9-9560-f4d04f7de4d0		1	900000000000012004	733073007	900000000000445007	SubClassOf(:900000000000445007 :900000000000443000)
fb859846-f19b-42c5-b1d2-ffe2820e6939		1	900000000000012004	733073007	900000000000493001	SubClassOf(:900000000000493001 :900000000000491004)
ed599aca-22b9-4b16-a5b9-c749c4763b9e		1	900000000000012004	733073007	447250001	SubClassOf(:447250001 :900000000000455006)
3276b64e-29e9-4aa6-acc8-bd5f8d36f852		1	900000000000012004	733073007	900000000000227009	SubClassOf(:900000000000227009 :900000000000449001)
6d3a403d-a19a-421c-8105-ebdbc7e92eb5		1	900000000000012004	733073007	900000000000506000	SubClassOf(:900000000000506000 :900000000000455006)
11110ab5-037a-411a-bc86-395c7f4d69bb		1	900000000000012004	733073007	900000000000447004	SubClassOf(:900000000000447004 :900000000000442005)
482a63b1-990a-4141-a05c-883a8b4b8c53		1	900000000000012004	733073007	900000000000548007	SubClassOf(:900000000000548007 :900000000000511003)
675c8625-5021-4ff1-9086-c5f6581a6e46		1	900000000000207008	733073007	125676002	SubClassOf(:125676002 :48176007)
647411e1-76af-4d5f-8b44-e67a72da6995		1	900000000000012004	733073007	900000000000449001	SubClassOf(:900000000000449001 :900000000000442005)
a7db5765-7d72-44a5-8379-9287bf69b0a4		1	900000000000012004	733073007	900000000000007000	SubClassOf(:900000000000007000 :900000000000226000)
3f257a34-267b-48b1-bd38-597d01531129		1	900000000000012004	733073007	900000000000020002	SubClassOf(:900000000000020002 :900000000000447004)
3288e4c1-f55a-4a32-b35a-985e9e5badcf		1	900000000000207008	733073007	362981000	SubClassOf(:362981000 :138875005)
e6bfda86-ef2a-459e-87a7-56b9c3c5c1c0		1	900000000000012004	733073007	900000000000487009	SubClassOf(:900000000000487009 ObjectIntersectionOf(:900000000000481005 :900000000000493001 :900000000000546006))
